scenario,year,population,age_0_14,age_15_64,age_65_plus,old_age_dependency,total_dependency,share_65_plus,median_age,births,net_international_migration,population_millions,births_millions
Census principal rebased para 2025,2025,341784857.0,58899693.0,218268076.0,64617088.0,29.60446125891539,56.58948539959641,18.905778496792795,39.384881493556044,,,341.784857,
Census principal rebased para 2025,2050,365106593.3721816,55745484.29208797,227074462.5243506,82286646.55574302,36.23773701409463,60.7871661627423,22.537704892078416,43.74977180898971,3485877.4441829054,940353.0,365.1065933721816,3.4858774441829055
Census principal rebased para 2025,2056,367484580.54023147,54450195.406817526,226862678.0280199,86171707.10539411,37.98408264172524,61.985472328261665,23.449067435350585,44.66129074386089,3435320.235621638,950522.0,367.4845805402315,3.435320235621638
Census principal rebased para 2025,2100,370486533.51793885,50079663.87730518,212418735.80327675,107988133.83735688,50.8373865558478,74.41330310008546,29.147654251278777,47.95324484895788,3164390.747528975,943853.0,370.4865335179388,3.1643907475289748
NIM 574 mil; fecundidade Census,2025,341784857.0,58899693.0,218268076.0,64617088.0,29.60446125891539,56.58948539959641,18.905778496792795,39.384881493556044,,,341.784857,
NIM 574 mil; fecundidade Census,2050,354562884.33100307,53079229.011536226,219972930.77523345,81510724.54423344,37.054888643330585,61.184779909711985,22.98907419427999,44.202881165877166,3305310.0254425434,574000.0,354.5628843310031,3.3053100254425436
NIM 574 mil; fecundidade Census,2056,353661652.5651695,51186371.893718064,217438345.2524566,85036935.41899483,39.10852767034387,62.649164826264176,24.044714715945915,45.25575337387873,3218235.718235158,574000.0,353.6616525651695,3.218235718235158
NIM 574 mil; fecundidade Census,2100,327722024.1537903,42502024.4044211,184099489.495588,101120510.25378111,54.92709976048276,78.01354314002276,30.855573565702205,49.42529472861515,2679597.4041676978,574000.0,327.7220241537903,2.6795974041676978
NIM 574 mil; fecundidade CBO,2025,341784857.0,58899693.0,218268076.0,64617088.0,29.60446125891539,56.58948539959641,18.905778496792795,39.384881493556044,,,341.784857,
NIM 574 mil; fecundidade CBO,2050,350915968.64899886,50933023.67348134,218472220.43128413,81510724.54423344,37.309422856289835,60.622695167494854,23.22798955489083,44.582792160457636,3173927.8485739217,574000.0,350.91596864899884,3.1739278485739217
NIM 574 mil; fecundidade CBO,2056,349151420.0112005,49103222.21612096,215011262.3760847,85036935.41899483,39.549991232670116,62.38750293949065,24.355317075974348,45.74627498692643,3060170.8365164995,574000.0,349.1514200112005,3.0601708365164995
NIM 574 mil; fecundidade CBO,2100,316081939.7843945,40176718.27024784,176167366.24091935,99737855.27322732,56.61539784663061,79.42139144666194,31.55443026617098,50.02764761828919,2532200.1927455096,574000.0,316.0819397843945,2.5322001927455093
Entrada estrangeira zero; fecundidade Census,2025,341784857.0,58899693.0,218268076.0,64617088.0,29.60446125891539,56.58948539959641,18.905778496792795,39.384881493556044,,,341.784857,
Entrada estrangeira zero; fecundidade Census,2050,323709834.0356899,45538190.10099157,199042108.95811602,79129534.97658241,39.75517310924065,62.633844531765654,24.444587916923822,45.63146048645323,2818499.8742727917,-285868.0,323.7098340356899,2.8184998742727916
Entrada estrangeira zero; fecundidade Census,2056,315148591.41532415,42546522.824728884,190957770.81384113,81644297.77675416,42.75515860328443,65.03575113607336,25.906604059403133,47.00476742634434,2657093.985125525,-253285.0,315.1485914153242,2.657093985125525
Entrada estrangeira zero; fecundidade Census,2100,234936516.02344322,26997043.92316821,124203713.11200514,83735758.98826985,67.4180802571966,89.15418077040965,35.64186632439644,53.57705613706126,1686167.6089623617,-72242.0,234.93651602344323,1.6861676089623616
Entrada estrangeira zero; fecundidade CBO,2025,341784857.0,58899693.0,218268076.0,64617088.0,29.60446125891539,56.58948539959641,18.905778496792795,39.384881493556044,,,341.784857,
Entrada estrangeira zero; fecundidade CBO,2050,320313662.8543202,43566639.8617561,197617488.01598182,79129534.97658241,40.041767442253395,62.087710996718954,24.703765138039337,46.02813198826123,2701237.827777285,-285868.0,320.3136628543202,2.7012378277772853
Entrada estrangeira zero; fecundidade CBO,2056,311010917.88333875,40689348.09269655,188677272.01388812,81644297.77675416,43.27193037365121,64.83751040265517,26.251264210402805,47.50414118918699,2524787.47573729,-253285.0,311.0109178833388,2.52478747573729
Entrada estrangeira zero; fecundidade CBO,2100,225003697.3960601,25156909.719402723,117422958.99853313,82423828.67812422,70.19396324287304,91.61814632764523,36.632210773425044,54.37936026198403,1568254.8481501827,-72242.0,225.00369739606012,1.5682548481501828
China-like NIM zero; TFR 1.126,2025,341784857.0,58899693.0,218268076.0,64617088.0,29.60446125891539,56.58948539959641,18.905778496792795,39.384881493556044,,,341.784857,
China-like NIM zero; TFR 1.126,2050,325484451.300035,35232329.170419775,209266066.60323364,80986055.52638157,38.700041932708714,55.53618251789968,24.881697175674844,46.92523415469361,2158374.6898842426,0.0,325.484451300035,2.1583746898842424
China-like NIM zero; TFR 1.126,2056,314127579.7481392,32926002.940977607,197017793.83770132,84183782.96946022,42.729025297486004,59.441222860768676,26.79923330417437,48.95057963825011,1992315.4472918715,0.0,314.1275797481392,1.9923154472918716
China-like NIM zero; TFR 1.126,2100,195667073.9254723,14795726.492765993,92251132.99793181,88620214.43477447,96.06409325808634,112.10262418116749,45.291327077609935,61.325116247568005,843416.9345084488,0.0,195.6670739254723,0.8434169345084488
China-like NIM zero; TFR 1.118,2025,341784857.0,58899693.0,218268076.0,64617088.0,29.60446125891539,56.58948539959641,18.905778496792795,39.384881493556044,,,341.784857,
China-like NIM zero; TFR 1.118,2050,325207038.67638445,35004711.16836917,209216271.9816337,80986055.52638157,38.70925275520206,55.44060488035707,24.902922106483462,46.954861045985,2144192.678990081,0.0,325.20703867638446,2.144192678990081
China-like NIM zero; TFR 1.118,2056,313766932.26265264,32710349.175826266,196872800.11736605,84183782.96946022,42.760494552459214,59.375460741961234,26.830036665237376,48.98926359158927,1978323.1384094888,0.0,313.76693226265263,1.9783231384094888
China-like NIM zero; TFR 1.118,2100,194657924.6813257,14581788.131721765,91502814.35303088,88573322.19657306,96.79846770050655,112.73435801691053,45.50203765994956,61.48767529199916,829557.6830540296,0.0,194.6579246813257,0.8295576830540295
