scenario,year,population,age_0_14,age_15_64,age_65_plus,old_age_dependency,total_dependency,share_65_plus,median_age,births,net_international_migration
Census principal rebased para 2025,2025,341784857.0,58899693.0,218268076.0,64617088.0,29.60446125891539,56.58948539959641,18.905778496792795,39.384881493556044,,
Census principal rebased para 2025,2026,343337870.24950004,58629008.98640011,218312168.433,66396692.8301,30.41364725873132,57.269231813283234,19.338587025617134,39.585932822392,3729032.468744978,864765.0
Census principal rebased para 2025,2027,344850063.13863945,58412382.229356,218395377.24478287,68042303.66450061,31.155560398257485,57.901722778739554,19.730981936096,39.780464609038965,3733062.5013684584,870593.0
Census principal rebased para 2025,2028,346317312.53980887,58200412.804721594,218506321.26498422,69610578.47010304,31.85746667058011,58.49304062916666,20.100230612092595,39.975547644016785,3736545.267881528,874210.0
Census principal rebased para 2025,2029,347737287.7361456,57987210.24710463,218665273.5954564,71084803.89358455,32.508501567146695,59.02721178282748,20.44209994170137,40.17728359042872,3739386.3608558346,877563.0
Census principal rebased para 2025,2030,349105707.3918186,57750276.56252651,218980311.28769052,72375119.54160148,33.0509711654017,59.423331412280575,20.73157728709697,40.390597338251325,3741476.896665326,878684.0
Census principal rebased para 2025,2031,350417308.179864,57528186.47394743,219472992.26361683,73416129.44229975,33.45109969344976,59.66306585867537,20.951056848087067,40.60006463095279,3742284.6744770603,876556.0
Census principal rebased para 2025,2032,351665446.4180709,57376857.51806872,219996310.00378028,74292278.89622185,33.769784090899186,59.8506113179935,21.125839815351338,40.797547413088644,3741006.2686588564,870256.0
Census principal rebased para 2025,2033,352860112.17748153,57266455.575638264,220508712.01435798,75084944.58748525,34.05078370898845,60.02093928810655,21.278955029555462,40.979303042412525,3737257.110887952,876378.0
Census principal rebased para 2025,2034,353999335.8082031,57210908.89521516,220900505.5479755,75887921.36501239,34.35389211842747,60.252840947582605,21.43730614402296,41.14513919843363,3731359.244105001,882251.0
Census principal rebased para 2025,2035,355081578.547886,57191776.087408595,221135003.7481742,76754798.71230328,34.709474941249326,60.57230765340461,21.616102706931102,41.30102351225202,3723688.4445246127,887842.0
Census principal rebased para 2025,2036,356105913.5237226,57273449.402181335,221255932.5225513,77576531.59898998,35.06189900290383,60.94750972945183,21.784679403764546,41.44928687828484,3714142.6389014246,893156.0
Census principal rebased para 2025,2037,357071573.81503296,57254502.5183681,221713257.95773077,78103813.33893415,35.22739869431918,61.05106979353849,21.873433526073065,41.59123576399219,3702401.6728064464,898196.0
Census principal rebased para 2025,2038,357978585.6646607,57267343.78799264,222288904.1490677,78422337.7276004,35.279465715036366,61.0420398782474,21.906991330778414,41.730362395304624,3688833.935370302,903017.0
Census principal rebased para 2025,2039,358827839.692222,57333125.70440974,222869629.54491693,78625084.44289532,35.27850995375272,61.003471143610525,21.911645570849394,41.874033054437774,3673698.660261033,907659.0
