year,age_0_24_m,age_25_54_m,age_55_64_m,age_65_plus_m,total_m
2025,105.411,136.639,42.373,63.733,348.156
2026,104.45,136.8,42.155,65.55,348.955
2027,103.609,137.174,41.787,67.267,349.838
2028,102.802,137.795,41.243,68.903,350.742
2029,101.982,138.688,40.603,70.432,351.705
2030,101.177,139.612,40.078,71.859,352.726
2031,100.385,140.606,39.748,73.047,353.786
2032,99.491,141.655,39.582,74.038,354.767
2033,98.542,142.614,39.624,74.89,355.671
2034,97.638,143.497,39.656,75.722,356.513
2035,96.899,144.079,39.758,76.574,357.311
2036,96.219,144.467,39.865,77.532,358.084
2037,95.633,144.858,40.125,78.229,358.845
2038,95.043,145.138,40.678,78.688,359.546
2039,94.47,145.466,41.304,78.951,360.191
2040,93.842,145.779,41.933,79.224,360.778
2041,93.224,145.983,42.65,79.453,361.31
2042,92.642,146.173,43.322,79.65,361.787
2043,92.19,146.203,43.906,79.911,362.21
2044,91.788,146.06,44.567,80.164,362.58
2045,91.409,145.78,45.18,80.531,362.9
2046,91.159,145.234,45.761,81.02,363.174
2047,90.848,144.838,46.291,81.428,363.405
2048,90.458,144.467,46.693,81.975,363.593
2049,90.109,144.139,47.059,82.437,363.744
2050,89.747,143.836,47.311,82.966,363.86
2051,89.372,143.572,47.43,83.574,363.947
2052,88.998,143.3,47.564,84.146,364.009
2053,88.63,143.055,47.638,84.727,364.051
2054,88.263,142.711,47.681,85.421,364.076
2055,87.898,142.372,47.612,86.208,364.09
2056,87.53,141.923,47.522,87.119,364.094
