year,net_international_migration,tfr_under30,tfr_30plus,tfr_total,life_expectancy_target
2026,574000.0,0.735,0.848,1.583,78.975
2027,694000.0,0.714,0.862,1.575,79.08666666666666
2028,833000.0,0.693,0.874,1.568,79.19833333333332
2029,969000.0,0.674,0.886,1.561,79.31
2030,1086000.0,0.657,0.898,1.555,79.42166666666667
2031,1082000.0,0.641,0.907,1.549,79.53333333333333
2032,1081000.0,0.628,0.916,1.544,79.645
2033,1092000.0,0.617,0.923,1.54,79.75666666666666
2034,1118000.0,0.609,0.928,1.536,79.86833333333333
2035,1160000.0,0.603,0.931,1.534,79.97999999999999
2036,1209000.0,0.601,0.931,1.533,80.09166666666667
2037,1212000.0,0.602,0.93,1.532,80.20333333333333
2038,1214000.0,0.602,0.93,1.531,80.315
2039,1217000.0,0.602,0.929,1.531,80.42666666666666
2040,1220000.0,0.602,0.929,1.531,80.53833333333333
2041,1223000.0,0.602,0.929,1.531,80.65
2042,1226000.0,0.602,0.928,1.531,80.76166666666667
2043,1229000.0,0.602,0.928,1.53,80.87333333333333
2044,1232000.0,0.602,0.928,1.53,80.985
2045,1235000.0,0.602,0.928,1.53,81.09666666666666
2046,1238000.0,0.602,0.928,1.53,81.20833333333333
2047,1238000.0,0.602,0.928,1.53,81.32
2048,1238000.0,0.602,0.928,1.53,81.43166666666667
2049,1239000.0,0.602,0.928,1.531,81.54333333333334
2050,1239000.0,0.602,0.929,1.531,81.655
2051,1239000.0,0.602,0.929,1.531,81.76666666666667
2052,1239000.0,0.602,0.929,1.531,81.87833333333333
2053,1240000.0,0.602,0.929,1.531,81.99000000000001
2054,1240000.0,0.602,0.929,1.531,82.10166666666667
2055,1240000.0,0.602,0.929,1.531,82.21333333333334
2056,1240000.0,0.602,0.929,1.531,82.325
2057,1240000.0,0.602,0.929,1.531,82.4130707356592
2058,1240000.0,0.602,0.929,1.531,82.5266236511023
2059,1240000.0,0.602,0.929,1.531,82.63294263114358
2060,1240000.0,0.602,0.929,1.531,82.7325129528902
2061,1240000.0,0.602,0.929,1.531,82.8336224917363
2062,1240000.0,0.602,0.929,1.531,82.93286040215663
2063,1240000.0,0.602,0.929,1.531,83.03857168544641
2064,1240000.0,0.602,0.929,1.531,83.14340764917596
2065,1240000.0,0.602,0.929,1.531,83.23986755212117
2066,1240000.0,0.602,0.929,1.531,83.3363804569397
2067,1240000.0,0.602,0.929,1.531,83.43370392850666
2068,1240000.0,0.602,0.929,1.531,83.53440979495369
2069,1240000.0,0.602,0.929,1.531,83.62446983640699
2070,1240000.0,0.602,0.929,1.531,83.72277468854185
2071,1240000.0,0.602,0.929,1.531,83.81198204295727
2072,1240000.0,0.602,0.929,1.531,83.90557295835053
2073,1240000.0,0.602,0.929,1.531,83.99470283255363
2074,1240000.0,0.602,0.929,1.531,84.09512210264907
2075,1240000.0,0.602,0.929,1.531,84.18258561890028
2076,1240000.0,0.602,0.929,1.531,84.26642910497499
2077,1240000.0,0.602,0.929,1.531,84.37058537397512
2078,1240000.0,0.602,0.929,1.531,84.45778471544048
2079,1240000.0,0.602,0.929,1.531,84.55483704720491
2080,1240000.0,0.602,0.929,1.531,84.6315122140475
2081,1240000.0,0.602,0.929,1.531,84.7186651766387
2082,1240000.0,0.602,0.929,1.531,84.82268647191508
2083,1240000.0,0.602,0.929,1.531,84.89747261324015
2084,1240000.0,0.602,0.929,1.531,84.97500632890099
2085,1240000.0,0.602,0.929,1.531,85.06070832544735
2086,1240000.0,0.602,0.929,1.531,85.14454245460483
2087,1240000.0,0.602,0.929,1.531,85.2293174794596
2088,1240000.0,0.602,0.929,1.531,85.30530780257847
2089,1240000.0,0.602,0.929,1.531,85.38881155718605
2090,1240000.0,0.602,0.929,1.531,85.48251990263479
2091,1240000.0,0.602,0.929,1.531,85.56720721710326
2092,1240000.0,0.602,0.929,1.531,85.65602161026331
2093,1240000.0,0.602,0.929,1.531,85.7346107574377
2094,1240000.0,0.602,0.929,1.531,85.81711123434799
2095,1240000.0,0.602,0.929,1.531,85.88693987641028
2096,1240000.0,0.602,0.929,1.531,85.96983911579558
2097,1240000.0,0.602,0.929,1.531,86.05545206509557
2098,1240000.0,0.602,0.929,1.531,86.12137716283746
2099,1240000.0,0.602,0.929,1.531,86.20359400700563
2100,1240000.0,0.602,0.929,1.531,86.27139192838852
