year,population_growth_pct,natural_increase_pct,net_immigration_pct
2025,0.23,0.113,0.117
2026,0.253,0.089,0.164
2027,0.259,0.061,0.198
2028,0.275,0.038,0.237
2029,0.29,0.016,0.275
2030,0.3,-0.006,0.306
2031,0.277,-0.027,0.305
2032,0.255,-0.048,0.303
2033,0.237,-0.069,0.305
2034,0.224,-0.088,0.312
2035,0.217,-0.106,0.323
2036,0.212,-0.123,0.336
2037,0.195,-0.14,0.336
2038,0.179,-0.157,0.336
2039,0.163,-0.173,0.336
2040,0.147,-0.189,0.336
2041,0.132,-0.205,0.336
2042,0.117,-0.22,0.337
2043,0.102,-0.235,0.337
2044,0.088,-0.249,0.338
2045,0.075,-0.263,0.338
2046,0.063,-0.275,0.339
2047,0.052,-0.287,0.339
2048,0.041,-0.297,0.339
2049,0.032,-0.306,0.339
2050,0.024,-0.315,0.338
2051,0.017,-0.321,0.338
2052,0.011,-0.327,0.338
2053,0.007,-0.331,0.338
2054,0.004,-0.335,0.338
2055,0.001,-0.337,0.338
2056,0.0,-0.339,0.338
