Year,total,under15,age65,working,oadr,tdr,share65
2025,1416096093.0,218182043.0,211111632.0,986802418.0,21.39350574635499,43.50350862233092,14.908001868203728
2026,1412914090.0,209163879.0,213724763.0,990025448.0,21.587804983372507,42.7149264551026,15.12652216526484
2027,1409679406.0,199394181.0,219747144.0,990538081.0,22.184623510703776,42.314508956268995,15.588448200682588
2028,1406136744.0,189296954.0,231707255.0,985132535.0,23.520414438449137,42.735793818848954,16.478287477281086
2029,1402282747.0,179354215.0,244687139.0,978241393.0,25.012961090269464,43.34731253802097,17.449201277237137
2030,1398153829.0,169741083.0,256360965.0,972051781.0,26.373179907789297,43.8353240360968,18.335676638911526
2031,1393748664.0,160306198.0,267622571.0,965819895.0,27.709366144295466,44.3073052455603,19.201637849964605
2032,1389060034.0,150482136.0,277824695.0,960753203.0,28.91738420777349,44.58031778219323,20.000913437842097
2033,1384096522.0,142126854.0,288808445.0,953161223.0,30.300062364161032,45.21116560361793,20.866206973967095
2034,1378876940.0,135589473.0,300935692.0,942351775.0,31.93453867055113,46.322952487673724,21.82469539304936
2035,1373427526.0,130828128.0,312876612.0,929722786.0,33.652677627285776,47.724412769205806,22.78071511434088
2036,1367742784.0,128168875.0,324217873.0,915356036.0,35.41986508515251,49.42194405325361,23.704593933357575
2037,1361830056.0,126749714.0,334327129.0,900753213.0,37.11639594229236,51.187920991629035,24.54984214271153
2038,1355722712.0,126174608.0,343509484.0,886038620.0,38.769132207803764,53.00943789560775,25.337739123160755
2039,1349394719.0,125972069.0,351371981.0,872050669.0,40.29261068085942,54.73810948936959,26.039229000421187
2040,1342816657.0,125901572.0,357286132.0,859628953.0,41.562831353354845,56.20886806031067,26.607216267201846
2041,1335990231.0,125946420.0,361620998.0,848422813.0,42.62273390802847,57.4675044717356,27.06763789203186
2042,1328909234.0,126084783.0,364687584.0,838136867.0,43.51169819141246,58.55515803244102,27.442625475804316
2043,1321590801.0,126311116.0,366885328.0,828394357.0,44.288728538502106,59.53643211502466,27.76088693432121
2044,1314015988.0,126585043.0,369257395.0,818173550.0,45.13191547196802,60.603577077259466,28.10143851917881
2045,1306113781.0,126830857.0,372040441.0,807242483.0,46.08781733307264,61.79943554828989,28.48453529945566
2046,1297817582.0,126972223.0,375198256.0,795647103.0,47.156365502407915,63.11472474499791,28.909937822062886
2047,1289120432.0,126948288.0,379294953.0,782877191.0,48.448844513596256,64.66445143884643,29.42277102935562
2048,1279992585.0,126698969.0,382867419.0,770426197.0,49.69553482096871,66.1408438581431,29.91169038686267
2049,1270381149.0,126171355.0,385653670.0,758556124.0,50.84049258825837,67.47358683244906,30.357319951069268
2050,1260289089.0,125320828.0,389291776.0,745676485.0,52.20652438838808,69.0128513305606,30.889085638985485
2051,1249692538.0,124110416.0,394079049.0,731503073.0,53.87250765520707,70.8390004261814,31.53408034512886
2052,1238557130.0,122511915.0,400132729.0,715912486.0,55.89129074080711,73.00398501500644,32.30636030491383
2053,1226929853.0,120531145.0,406185446.0,700213262.0,58.00881931882061,75.2223100567324,33.10584097426799
2054,1214853342.0,118194964.0,411958216.0,684700162.0,60.166221488348356,77.42851680528739,33.910119168935864
2055,1202342470.0,115539368.0,418286176.0,668516926.0,62.569272329837766,79.85221065292818,34.78927064765499
2056,1189440667.0,112612113.0,422533295.0,654295259.0,64.57838249443896,81.78958973627532,35.523696702392975
2057,1176217941.0,109461333.0,423680187.0,643076421.0,65.88333410532556,82.90484654544657,36.02055131379772
2058,1162722702.0,106125581.0,423733767.0,632863354.0,66.95501711732862,83.72413170252864,36.443235026815536
2059,1149002165.0,102670238.0,423146005.0,623185922.0,67.90044352125143,84.37550086376952,36.82725915490333
2060,1135127187.0,99180376.0,422064944.0,613881867.0,68.75344698852295,84.90971113828323,37.18217208024637
2061,1121174714.0,95733323.0,420494953.0,604946438.0,69.50945184340436,85.33454262606965,37.50485519779569
2062,1107207131.0,92410157.0,418332522.0,596464452.0,70.1353652505682,85.62835174626635,37.782679526474254
2063,1093276698.0,89286778.0,415653518.0,588336402.0,70.64895467746359,85.8250984102799,38.01905947143858
2064,1079407880.0,86414915.0,412752538.0,580240427.0,71.1347432535927,86.02769296528179,38.23879236456936
2065,1065632522.0,83829575.0,410207626.0,571595321.0,71.76539256520611,86.43128850944531,38.494285556348665
2066,1051989135.0,81567775.0,407700138.0,562721222.0,72.45153053779799,86.94676757721429,38.75516623087557
2067,1038472810.0,79644990.0,404836646.0,553991174.0,73.07637106868421,87.45295209342089,38.983846481257416
2068,1025103452.0,78058578.0,401906007.0,545138867.0,73.72543609149777,88.04446243969612,39.20638509370662
2069,1011878187.0,76794136.0,399103504.0,535980547.0,74.46231140922359,88.79009558531608,39.44185269802639
2070,998784320.0,75818157.0,396611350.0,526354813.0,75.35056965461813,89.7549514760493,39.70940893425319
2071,985806546.0,75094718.0,394439626.0,516272202.0,76.4014844246834,90.94705122240921,40.01186922530336
2072,972905676.0,74584527.0,392680975.0,505640174.0,77.6601613541886,92.41067581785936,40.361669654808345
2073,960055379.0,74244683.0,391422817.0,494387879.0,79.17322281277046,94.19071942902548,40.77085817775518
2074,947249408.0,74028605.0,390662383.0,482558420.0,80.95649496697209,96.2973535929598,41.24176586447653
2075,934466657.0,73886198.0,390117193.0,470463266.0,82.92192423797016,98.62691192557423,41.74757762384239
2076,921677632.0,73778246.0,389551633.0,458347753.0,84.99040967263126,101.08697511166811,42.265497119062125
2077,908874537.0,73661589.0,389661911.0,445551037.0,87.45617867342098,103.98887254750122,42.873014386142934
2078,896043788.0,73494831.0,390029472.0,432519485.0,90.17616212134351,107.16842109436989,43.52794776587414
2079,883166964.0,73242665.0,390174253.0,419750046.0,92.95395121886419,110.40306544719235,44.178990938796034
2080,870252336.0,72882216.0,389977526.0,407392594.0,95.72523696883896,113.61515864964399,44.81200565257661
2081,857328716.0,72399470.0,389641499.0,395287747.0,98.57161067023917,116.8872479621788,45.44832008169898
2082,844439194.0,71784694.0,389731761.0,382922739.0,101.7781712357385,120.52469284149772,46.15273234226501
2083,831604662.0,71031384.0,388610913.0,371962365.0,104.47586894980626,123.57225898378186,46.73024704616194
2084,818815360.0,70133633.0,385987836.0,362693891.0,106.42248065876576,125.75934701916444,47.13978936594448
2085,806115053.0,69101395.0,381868696.0,355144962.0,107.52473971459575,126.98197616555237,47.37148804985782
2086,793559251.0,67944571.0,375978869.0,349635811.0,107.53442787357957,126.96738321235635,47.37880234225888
2087,781153712.0,66672438.0,369165652.0,345315622.0,106.90673357372752,126.21441435974188,47.25902806693697
2088,768899126.0,65299716.0,361907930.0,341691480.0,105.91658006807779,125.02730416339324,47.0683237582455
2089,756809106.0,63851197.0,354647671.0,338310238.0,104.8291275772742,123.7026909011249,46.86091488439358
2090,744902835.0,62358104.0,347531046.0,335013685.0,103.73637303801485,122.34997206158907,46.654547367912755
2091,733179447.0,60841285.0,340730308.0,331607854.0,102.75097645907988,121.0983359278336,46.47297593981791
2092,721612750.0,59321975.0,334257847.0,328032928.0,101.8976506529247,119.9818031682478,46.32094527154627
2093,710185967.0,57823388.0,327915467.0,324447112.0,101.06900473812817,118.89113532932295,46.17318311500796
2094,698893771.0,56372714.0,321663078.0,320857979.0,100.25092067291243,117.82028708720378,46.024602213832004
2095,687724077.0,54992750.0,315489717.0,317241610.0,99.44777326026053,116.78243185060118,45.87446151023734
2096,676660870.0,53699838.0,309406535.0,313554497.0,98.67711608677709,115.80327390424893,45.725495402150266
2097,665695505.0,52509063.0,303421809.0,309764633.0,97.95237308450251,114.90365073407202,45.57966919124683
2098,654825387.0,51429644.0,297528173.0,305867570.0,97.27352690577821,114.08787698545486,45.43626116316104
