YEAR,TOTAL,FB_HISPANIC,FB_NH_API,FB_NH_OTHER,NB_API,NB_WHITE,NB_OTHER
2023,1.6356,2.928,1.6222,2.2823,1.2695,1.5241,1.5071
2024,1.6345,2.9135,1.6212,2.2745,1.2722,1.5241,1.5073
2025,1.6333,2.899,1.6202,2.2667,1.2748,1.5241,1.5075
2026,1.6322,2.8845,1.6192,2.2588,1.2774,1.5241,1.5076
2027,1.631,2.8701,1.6182,2.251,1.28,1.5241,1.5078
2028,1.6299,2.8556,1.6171,2.2432,1.2827,1.5241,1.508
2029,1.6287,2.8411,1.6161,2.2354,1.2853,1.5241,1.5082
2030,1.6276,2.8267,1.6151,2.2276,1.2879,1.5241,1.5083
2031,1.6264,2.8122,1.6141,2.2198,1.2905,1.5241,1.5085
2032,1.6253,2.7977,1.6131,2.212,1.2932,1.5241,1.5087
2033,1.6241,2.7832,1.6121,2.2041,1.2958,1.5241,1.5089
2034,1.623,2.7688,1.6111,2.1963,1.2984,1.5241,1.509
2035,1.6218,2.7543,1.6101,2.1885,1.301,1.5241,1.5092
2036,1.6207,2.7398,1.6091,2.1807,1.3037,1.5241,1.5094
2037,1.6195,2.7253,1.608,2.1729,1.3063,1.5241,1.5096
2038,1.6184,2.7109,1.607,2.165,1.3089,1.5241,1.5097
2039,1.6172,2.6964,1.606,2.1572,1.3115,1.5241,1.5099
2040,1.6161,2.6819,1.605,2.1494,1.3142,1.5241,1.5101
2041,1.6149,2.6674,1.604,2.1416,1.3168,1.5241,1.5103
2042,1.6138,2.653,1.603,2.1338,1.3194,1.5241,1.5104
2043,1.6126,2.6385,1.602,2.126,1.322,1.5241,1.5106
2044,1.6115,2.624,1.601,2.1181,1.3246,1.5241,1.5108
2045,1.6103,2.6095,1.5999,2.1103,1.3273,1.5241,1.511
2046,1.6092,2.5951,1.5989,2.1025,1.3299,1.5241,1.5111
2047,1.608,2.5806,1.5979,2.0947,1.3325,1.5241,1.5113
2048,1.6069,2.5661,1.5969,2.0869,1.3351,1.5241,1.5115
2049,1.6057,2.5516,1.5959,2.079,1.3378,1.5241,1.5117
2050,1.6046,2.5372,1.5949,2.0712,1.3404,1.5241,1.5118
2051,1.6034,2.5227,1.5939,2.0634,1.343,1.5241,1.512
2052,1.6023,2.5082,1.5929,2.0556,1.3456,1.5241,1.5122
2053,1.6011,2.4937,1.5919,2.0478,1.3483,1.5241,1.5124
2054,1.6,2.4793,1.5908,2.04,1.3509,1.5241,1.5125
2055,1.5988,2.4648,1.5898,2.0322,1.3535,1.5241,1.5127
2056,1.5977,2.4504,1.5888,2.0243,1.3561,1.5241,1.5129
2057,1.5965,2.4359,1.5878,2.0165,1.3588,1.5241,1.5131
2058,1.5954,2.4214,1.5868,2.0087,1.3614,1.5241,1.5132
2059,1.5942,2.4069,1.5858,2.0009,1.364,1.5241,1.5134
2060,1.5931,2.3925,1.5848,1.9931,1.3666,1.5241,1.5136
2061,1.5919,.,.,.,.,.,.
2062,1.5908,.,.,.,.,.,.
2063,1.5896,.,.,.,.,.,.
2064,1.5885,.,.,.,.,.,.
2065,1.5873,.,.,.,.,.,.
2066,1.5862,.,.,.,.,.,.
2067,1.585,.,.,.,.,.,.
2068,1.5839,.,.,.,.,.,.
2069,1.5827,.,.,.,.,.,.
2070,1.5816,.,.,.,.,.,.
2071,1.5804,.,.,.,.,.,.
2072,1.5793,.,.,.,.,.,.
2073,1.5781,.,.,.,.,.,.
2074,1.577,.,.,.,.,.,.
2075,1.5758,.,.,.,.,.,.
2076,1.5747,.,.,.,.,.,.
2077,1.5735,.,.,.,.,.,.
2078,1.5724,.,.,.,.,.,.
2079,1.5712,.,.,.,.,.,.
2080,1.5701,.,.,.,.,.,.
2081,1.5689,.,.,.,.,.,.
2082,1.5678,.,.,.,.,.,.
2083,1.5666,.,.,.,.,.,.
2084,1.5655,.,.,.,.,.,.
2085,1.5643,.,.,.,.,.,.
2086,1.5632,.,.,.,.,.,.
2087,1.562,.,.,.,.,.,.
2088,1.5609,.,.,.,.,.,.
2089,1.5597,.,.,.,.,.,.
2090,1.5586,.,.,.,.,.,.
2091,1.5574,.,.,.,.,.,.
2092,1.5563,.,.,.,.,.,.
2093,1.5551,.,.,.,.,.,.
2094,1.554,.,.,.,.,.,.
2095,1.5528,.,.,.,.,.,.
2096,1.5517,.,.,.,.,.,.
2097,1.5505,.,.,.,.,.,.
2098,1.5494,.,.,.,.,.,.
2099,1.5482,.,.,.,.,.,.
2100,1.5471,.,.,.,.,.,.
