RACE_HISP,SEX,YEAR,BIRTHS
0,0,2023,3636819
0,0,2024,3661668
0,0,2025,3685638
0,0,2026,3709112
0,0,2027,3731981
0,0,2028,3753796
0,0,2029,3774328
0,0,2030,3793554
0,0,2031,3811249
0,0,2032,3826951
0,0,2033,3840248
0,0,2034,3851116
0,0,2035,3859663
0,0,2036,3865666
0,0,2037,3868702
0,0,2038,3868889
0,0,2039,3866448
0,0,2040,3861433
0,0,2041,3854336
0,0,2042,3845932
0,0,2043,3836769
0,0,2044,3827411
0,0,2045,3818422
0,0,2046,3810121
0,0,2047,3802579
0,0,2048,3795808
0,0,2049,3789911
0,0,2050,3785155
0,0,2051,3781798
0,0,2052,3780178
0,0,2053,3780609
0,0,2054,3783193
0,0,2055,3787761
0,0,2056,3794076
0,0,2057,3801917
0,0,2058,3810916
0,0,2059,3820580
0,0,2060,3830514
0,0,2061,3840361
0,0,2062,3849805
0,0,2063,3858517
0,0,2064,3866264
0,0,2065,3872880
0,0,2066,3878284
0,0,2067,3882426
0,0,2068,3885311
0,0,2069,3886972
0,0,2070,3887516
0,0,2071,3887047
0,0,2072,3885705
0,0,2073,3883643
0,0,2074,3881051
0,0,2075,3878099
0,0,2076,3874965
0,0,2077,3871804
0,0,2078,3868790
0,0,2079,3866046
0,0,2080,3863683
0,0,2081,3861776
0,0,2082,3860408
0,0,2083,3859607
0,0,2084,3859384
0,0,2085,3859716
0,0,2086,3860589
0,0,2087,3861934
0,0,2088,3863672
0,0,2089,3865700
0,0,2090,3867931
0,0,2091,3870237
0,0,2092,3872504
0,0,2093,3874604
0,0,2094,3876453
0,0,2095,3877943
0,0,2096,3878994
0,0,2097,3879533
0,0,2098,3879536
0,0,2099,3878969
0,0,2100,3877826
0,1,2023,1860460
0,1,2024,1873161
0,1,2025,1885410
0,1,2026,1897402
0,1,2027,1909090
0,1,2028,1920239
0,1,2029,1930728
0,1,2030,1940551
0,1,2031,1949592
0,1,2032,1957616
0,1,2033,1964411
0,1,2034,1969955
0,1,2035,1974317
0,1,2036,1977376
0,1,2037,1978921
0,1,2038,1979000
0,1,2039,1977739
0,1,2040,1975155
0,1,2041,1971514
0,1,2042,1967203
0,1,2043,1962506
0,1,2044,1957709
0,1,2045,1953100
0,1,2046,1948846
0,1,2047,1944978
0,1,2048,1941507
0,1,2049,1938482
0,1,2050,1936035
0,1,2051,1934307
0,1,2052,1933469
0,1,2053,1933670
0,1,2054,1934984
0,1,2055,1937308
0,1,2056,1940531
0,1,2057,1944529
0,1,2058,1949117
0,1,2059,1954053
0,1,2060,1959121
0,1,2061,1964147
0,1,2062,1968971
0,1,2063,1973413
0,1,2064,1977362
0,1,2065,1980733
0,1,2066,1983481
0,1,2067,1985582
0,1,2068,1987046
0,1,2069,1987886
0,1,2070,1988142
0,1,2071,1987884
0,1,2072,1987184
0,1,2073,1986111
0,1,2074,1984773
0,1,2075,1983243
0,1,2076,1981628
0,1,2077,1979994
0,1,2078,1978438
0,1,2079,1977016
0,1,2080,1975790
0,1,2081,1974795
0,1,2082,1974088
0,1,2083,1973660
0,1,2084,1973529
0,1,2085,1973678
0,1,2086,1974110
0,1,2087,1974779
0,1,2088,1975652
0,1,2089,1976675
0,1,2090,1977798
0,1,2091,1978959
0,1,2092,1980104
0,1,2093,1981160
0,1,2094,1982092
0,1,2095,1982835
0,1,2096,1983358
0,1,2097,1983619
0,1,2098,1983606
0,1,2099,1983300
0,1,2100,1982697
0,2,2023,1776359
0,2,2024,1788507
0,2,2025,1800228
0,2,2026,1811710
0,2,2027,1822891
0,2,2028,1833557
0,2,2029,1843600
0,2,2030,1853003
0,2,2031,1861657
0,2,2032,1869335
0,2,2033,1875837
0,2,2034,1881161
0,2,2035,1885346
0,2,2036,1888290
0,2,2037,1889781
0,2,2038,1889889
0,2,2039,1888709
0,2,2040,1886278
0,2,2041,1882822
0,2,2042,1878729
0,2,2043,1874263
0,2,2044,1869702
0,2,2045,1865322
0,2,2046,1861275
0,2,2047,1857601
0,2,2048,1854301
0,2,2049,1851429
0,2,2050,1849120
0,2,2051,1847491
0,2,2052,1846709
0,2,2053,1846939
0,2,2054,1848209
0,2,2055,1850453
0,2,2056,1853545
0,2,2057,1857388
0,2,2058,1861799
0,2,2059,1866527
0,2,2060,1871393
0,2,2061,1876214
0,2,2062,1880834
0,2,2063,1885104
0,2,2064,1888902
0,2,2065,1892147
0,2,2066,1894803
0,2,2067,1896844
0,2,2068,1898265
0,2,2069,1899086
0,2,2070,1899374
0,2,2071,1899163
0,2,2072,1898521
0,2,2073,1897532
0,2,2074,1896278
0,2,2075,1894856
0,2,2076,1893337
0,2,2077,1891810
0,2,2078,1890352
0,2,2079,1889030
0,2,2080,1887893
0,2,2081,1886981
0,2,2082,1886320
0,2,2083,1885947
0,2,2084,1885855
0,2,2085,1886038
0,2,2086,1886479
0,2,2087,1887155
0,2,2088,1888020
0,2,2089,1889025
0,2,2090,1890133
0,2,2091,1891278
0,2,2092,1892400
0,2,2093,1893444
0,2,2094,1894361
0,2,2095,1895108
0,2,2096,1895636
0,2,2097,1895914
0,2,2098,1895930
0,2,2099,1895669
0,2,2100,1895129
1,0,2023,2525356
1,0,2024,2533387
1,0,2025,2540773
1,0,2026,2547741
1,0,2027,2554233
1,0,2028,2560032
1,0,2029,2565070
1,0,2030,2569320
1,0,2031,2572500
1,0,2032,2574198
1,0,2033,2574032
1,0,2034,2571912
1,0,2035,2567906
1,0,2036,2561859
1,0,2037,2553518
1,0,2038,2543037
1,0,2039,2530617
1,0,2040,2516339
1,0,2041,2500624
1,0,2042,2484131
1,0,2043,2467292
1,0,2044,2450464
1,0,2045,2434011
1,0,2046,2418153
1,0,2047,2402931
1,0,2048,2388389
1,0,2049,2374651
1,0,2050,2361919
1,0,2051,2350362
1,0,2052,2340178
1,0,2053,2331571
1,0,2054,2324592
1,0,2055,2319031
1,0,2056,2314608
1,0,2057,2311109
1,0,2058,2308247
1,0,2059,2305626
1,0,2060,2302935
1,1,2023,1292876
1,1,2024,1296949
1,1,2025,1300689
1,1,2026,1304214
1,1,2027,1307495
1,1,2028,1310421
1,1,2029,1312958
1,1,2030,1315093
1,1,2031,1316680
1,1,2032,1317510
1,1,2033,1317386
1,1,2034,1316265
1,1,2035,1314179
1,1,2036,1311050
1,1,2037,1306748
1,1,2038,1301353
1,1,2039,1294966
1,1,2040,1287630
1,1,2041,1279561
1,1,2042,1271094
1,1,2043,1262453
1,1,2044,1253819
1,1,2045,1245376
