RACE_HISP,SEX,YEAR,BIRTHS
0,0,2023,3620521
0,0,2024,3612833
0,0,2025,3604380
0,0,2026,3595765
0,0,2027,3587103
0,0,2028,3578158
0,0,2029,3568901
0,0,2030,3559471
0,0,2031,3549778
0,0,2032,3539455
0,0,2033,3528093
0,0,2034,3515633
0,0,2035,3502193
0,0,2036,3487533
0,0,2037,3471189
0,0,2038,3453203
0,0,2039,3433706
0,0,2040,3412635
0,0,2041,3390343
0,0,2042,3367407
0,0,2043,3344179
0,0,2044,3321042
0,0,2045,3298410
0,0,2046,3276455
0,0,2047,3255128
0,0,2048,3234334
0,0,2049,3214097
0,0,2050,3194602
0,0,2051,3176047
0,0,2052,3158720
0,0,2053,3142898
0,0,2054,3128640
0,0,2055,3115792
0,0,2056,3104179
0,0,2057,3093683
0,0,2058,3084036
0,0,2059,3074892
0,0,2060,3066017
0,0,2061,3057223
0,0,2062,3048325
0,0,2063,3039123
0,0,2064,3029490
0,0,2065,3019344
0,0,2066,3008640
0,0,2067,2997355
0,0,2068,2985492
0,0,2069,2973067
0,0,2070,2960137
0,0,2071,2946759
0,0,2072,2933016
0,0,2073,2918998
0,0,2074,2904814
0,0,2075,2890567
0,0,2076,2876365
0,0,2077,2862304
0,0,2078,2848483
0,0,2079,2834976
0,0,2080,2821847
0,0,2081,2809142
0,0,2082,2796902
0,0,2083,2785143
0,0,2084,2773869
0,0,2085,2763066
0,0,2086,2752717
0,0,2087,2742781
0,0,2088,2733208
0,0,2089,2723934
0,0,2090,2714899
0,0,2091,2706026
0,0,2092,2697243
0,0,2093,2688477
0,0,2094,2679670
0,0,2095,2670761
0,0,2096,2661702
0,0,2097,2652454
0,0,2098,2643001
0,0,2099,2633325
0,0,2100,2623424
0,1,2023,1852117
0,1,2024,1848166
0,1,2025,1843820
0,1,2026,1839393
0,1,2027,1834944
0,1,2028,1830346
0,1,2029,1825587
0,1,2030,1820746
0,1,2031,1815772
0,1,2032,1810477
0,1,2033,1804650
0,1,2034,1798265
0,1,2035,1791375
0,1,2036,1783861
0,1,2037,1775485
0,1,2038,1766268
0,1,2039,1756287
0,1,2040,1745492
0,1,2041,1734084
0,1,2042,1722335
0,1,2043,1710451
0,1,2044,1698608
0,1,2045,1687030
0,1,2046,1675795
0,1,2047,1664877
0,1,2048,1654235
0,1,2049,1643878
0,1,2050,1633902
0,1,2051,1624403
0,1,2052,1615528
0,1,2053,1607433
0,1,2054,1600129
0,1,2055,1593550
0,1,2056,1587608
0,1,2057,1582225
0,1,2058,1577285
0,1,2059,1572599
0,1,2060,1568047
0,1,2061,1563542
0,1,2062,1558986
0,1,2063,1554268
0,1,2064,1549330
0,1,2065,1544131
0,1,2066,1538644
0,1,2067,1532858
0,1,2068,1526781
0,1,2069,1520414
0,1,2070,1513785
0,1,2071,1506935
0,1,2072,1499902
0,1,2073,1492716
0,1,2074,1485448
0,1,2075,1478152
0,1,2076,1470883
0,1,2077,1463681
0,1,2078,1456606
0,1,2079,1449683
0,1,2080,1442960
0,1,2081,1436457
0,1,2082,1430188
0,1,2083,1424161
0,1,2084,1418384
0,1,2085,1412852
0,1,2086,1407553
0,1,2087,1402459
0,1,2088,1397554
0,1,2089,1392807
0,1,2090,1388174
0,1,2091,1383625
0,1,2092,1379127
0,1,2093,1374630
