RACE_HISP,SEX,YEAR,BIRTHS
0,0,2023,3627038
0,0,2024,3632362
0,0,2025,3636874
0,0,2026,3641090
0,0,2027,3645038
0,0,2028,3648395
0,0,2029,3651052
0,0,2030,3653082
0,0,2031,3654345
0,0,2032,3654433
0,0,2033,3652935
0,0,2034,3649808
0,0,2035,3645164
0,0,2036,3638771
0,0,2037,3630182
0,0,2038,3619468
0,0,2039,3606797
0,0,2040,3592151
0,0,2041,3575939
0,0,2042,3558819
0,0,2043,3541220
0,0,2044,3523597
0,0,2045,3506423
0,0,2046,3489931
0,0,2047,3474119
0,0,2048,3458934
0,0,2049,3444432
0,0,2050,3430830
0,0,2051,3418352
0,0,2052,3407306
0,0,2053,3397983
0,0,2054,3390460
0,0,2055,3384576
0,0,2056,3380133
0,0,2057,3376970
0,0,2058,3374781
0,0,2059,3373161
0,0,2060,3371810
0,0,2061,3370473
0,0,2062,3368914
0,0,2063,3366880
0,0,2064,3364202
0,0,2065,3360763
0,0,2066,3356506
0,0,2067,3351395
0,0,2068,3345434
0,0,2069,3338648
0,0,2070,3331111
0,0,2071,3322899
0,0,2072,3314120
0,0,2073,3304886
0,0,2074,3295339
0,0,2075,3285610
0,0,2076,3275834
0,0,2077,3266132
0,0,2078,3256632
0,0,2079,3247429
0,0,2080,3238604
0,0,2081,3230217
0,0,2082,3222324
0,0,2083,3214945
0,0,2084,3208088
0,0,2085,3201736
0,0,2086,3195873
0,0,2087,3190447
0,0,2088,3185396
0,0,2089,3180641
0,0,2090,3176111
0,0,2091,3171710
0,0,2092,3167346
0,0,2093,3162926
0,0,2094,3158381
0,0,2095,3153632
0,0,2096,3148617
0,0,2097,3143283
0,0,2098,3137613
0,0,2099,3131580
0,0,2100,3125183
0,1,2023,1855455
0,1,2024,1858162
0,1,2025,1860454
0,1,2026,1862592
0,1,2027,1864591
0,1,2028,1866291
0,1,2029,1867634
0,1,2030,1868659
0,1,2031,1869285
0,1,2032,1869322
0,1,2033,1868545
0,1,2034,1866932
0,1,2035,1864544
0,1,2036,1861263
0,1,2037,1856851
0,1,2038,1851357
0,1,2039,1844859
0,1,2040,1837354
0,1,2041,1829052
0,1,2042,1820280
0,1,2043,1811271
0,1,2044,1802251
0,1,2045,1793459
0,1,2046,1785017
0,1,2047,1776923
0,1,2048,1769145
0,1,2049,1761720
0,1,2050,1754752
0,1,2051,1748368
0,1,2052,1742708
0,1,2053,1737928
0,1,2054,1734071
0,1,2055,1731053
0,1,2056,1728771
0,1,2057,1727140
0,1,2058,1726015
0,1,2059,1725178
0,1,2060,1724474
0,1,2061,1723783
0,1,2062,1722978
0,1,2063,1721925
0,1,2064,1720541
0,1,2065,1718772
0,1,2066,1716581
0,1,2067,1713953
0,1,2068,1710894
0,1,2069,1707410
0,1,2070,1703538
0,1,2071,1699326
0,1,2072,1694826
0,1,2073,1690092
0,1,2074,1685195
0,1,2075,1680205
0,1,2076,1675193
0,1,2077,1670216
0,1,2078,1665349
0,1,2079,1660628
0,1,2080,1656101
0,1,2081,1651803
0,1,2082,1647756
0,1,2083,1643972
0,1,2084,1640446
0,1,2085,1637187
0,1,2086,1634176
0,1,2087,1631391
0,1,2088,1628793
0,1,2089,1626350
0,1,2090,1624021
0,1,2091,1621763
0,1,2092,1619516
0,1,2093,1617241
0,1,2094,1614905
0,1,2095,1612465
0,1,2096,1609888
0,1,2097,1607140
0,1,2098,1604235
0,1,2099,1601137
0,1,2100,1597851
0,2,2023,1771583
0,2,2024,1774200
0,2,2025,1776420
0,2,2026,1778498
0,2,2027,1780447
0,2,2028,1782104
0,2,2029,1783418
0,2,2030,1784423
0,2,2031,1785060
0,2,2032,1785111
0,2,2033,1784390
0,2,2034,1782876
0,2,2035,1780620
0,2,2036,1777508
0,2,2037,1773331
0,2,2038,1768111
0,2,2039,1761938
0,2,2040,1754797
0,2,2041,1746887
0,2,2042,1738539
0,2,2043,1729949
0,2,2044,1721346
0,2,2045,1712964
0,2,2046,1704914
0,2,2047,1697196
0,2,2048,1689789
0,2,2049,1682712
0,2,2050,1676078
0,2,2051,1669984
0,2,2052,1664598
0,2,2053,1660055
0,2,2054,1656389
0,2,2055,1653523
0,2,2056,1651362
0,2,2057,1649830
0,2,2058,1648766
0,2,2059,1647983
0,2,2060,1647336
0,2,2061,1646690
0,2,2062,1645936
0,2,2063,1644955
0,2,2064,1643661
0,2,2065,1641991
0,2,2066,1639925
0,2,2067,1637442
0,2,2068,1634540
0,2,2069,1631238
0,2,2070,1627573
0,2,2071,1623573
0,2,2072,1619294
0,2,2073,1614794
0,2,2074,1610144
0,2,2075,1605405
0,2,2076,1600641
0,2,2077,1595916
0,2,2078,1591283
0,2,2079,1586801
0,2,2080,1582503
0,2,2081,1578414
0,2,2082,1574568
0,2,2083,1570973
0,2,2084,1567642
0,2,2085,1564549
0,2,2086,1561697
0,2,2087,1559056
0,2,2088,1556603
0,2,2089,1554291
0,2,2090,1552090
0,2,2091,1549947
0,2,2092,1547830
0,2,2093,1545685
0,2,2094,1543476
0,2,2095,1541167
0,2,2096,1538729
0,2,2097,1536143
0,2,2098,1533378
0,2,2099,1530443
0,2,2100,1527332
1,0,2023,2519936
1,0,2024,2517204
1,0,2025,2513956
1,0,2026,2510476
1,0,2027,2506765
1,0,2028,2502660
1,0,2029,2498133
1,0,2030,2493198
1,0,2031,2487600
1,0,2032,2480942
1,0,2033,2472861
1,0,2034,2463272
1,0,2035,2452232
1,0,2036,2439571
1,0,2037,2425019
1,0,2038,2408699
1,0,2039,2390792
1,0,2040,2371343
1,0,2041,2350743
1,0,2042,2329598
1,0,2043,2308298
1,0,2044,2287153
1,0,2045,2266488
1,0,2046,2246478
1,0,2047,2227126
1,0,2048,2208438
1,0,2049,2190506
1,0,2050,2173503
1,0,2051,2157573
1,0,2052,2142891
1,0,2053,2129644
1,0,2054,2117873
1,0,2055,2107376
1,0,2056,2097901
1,0,2057,2089273
1,0,2058,2081243
1,0,2059,2073465
1,0,2060,2065682
1,1,2023,1290108
1,1,2024,1288682
1,1,2025,1286990
1,1,2026,1285179
1,1,2027,1283248
1,1,2028,1281115
1,1,2029,1278766
1,1,2030,1276209
1,1,2031,1273313
1,1,2032,1269874
1,1,2033,1265709
1,1,2034,1260772
1,1,2035,1255094
1,1,2036,1248587
1,1,2037,1241112
1,1,2038,1232735
1,1,2039,1223546
1,1,2040,1213569
1,1,2041,1203005
1,1,2042,1192163
1,1,2043,1181243
1,1,2044,1170404
1,1,2045,1159811
1,1,2046,1149554
1,1,2047,1139633
1,1,2048,1130053
1,1,2049,1120858
1,1,2050,1112139
1,1,2051,1103968
1,1,2052,1096436
1,1,2053,1089637
1,1,2054,1083594
1,1,2055,1078202
1,1,2056,1073334
1,1,2057,1068898
1,1,2058,1064770
1,1,2059,1060770
1,1,2060,1056768
1,2,2023,1229828
1,2,2024,1228522
1,2,2025,1226966
1,2,2026,1225297
1,2,2027,1223517
1,2,2028,1221545
1,2,2029,1219367
1,2,2030,1216989
1,2,2031,1214287
1,2,2032,1211068
1,2,2033,1207152
1,2,2034,1202500
1,2,2035,1197138
1,2,2036,1190984
1,2,2037,1183907
1,2,2038,1175964
1,2,2039,1167246
1,2,2040,1157774
1,2,2041,1147738
1,2,2042,1137435
1,2,2043,1127055
1,2,2044,1116749
1,2,2045,1106677
1,2,2046,1096924
1,2,2047,1087493
1,2,2048,1078385
1,2,2049,1069648
1,2,2050,1061364
1,2,2051,1053605
1,2,2052,1046455
1,2,2053,1040007
1,2,2054,1034279
1,2,2055,1029174
1,2,2056,1024567
1,2,2057,1020375
1,2,2058,1016473
1,2,2059,1012695
1,2,2060,1008914
2,0,2023,555285
2,0,2024,555583
2,0,2025,555633
2,0,2026,555539
2,0,2027,555280
2,0,2028,554752
2,0,2029,553896
2,0,2030,552780
2,0,2031,551530
2,0,2032,550236
2,0,2033,548944
2,0,2034,547706
2,0,2035,546574
2,0,2036,545561
2,0,2037,544632
2,0,2038,543754
2,0,2039,542893
2,0,2040,542032
2,0,2041,541148
2,0,2042,540124
2,0,2043,538907
2,0,2044,537618
2,0,2045,536357
2,0,2046,535162
2,0,2047,534050
2,0,2048,533003
2,0,2049,532006
2,0,2050,531061
2,0,2051,530186
2,0,2052,529405
2,0,2053,528710
2,0,2054,528062
2,0,2055,527471
2,0,2056,526996
2,0,2057,526664
2,0,2058,526452
2,0,2059,526377
2,0,2060,526473
2,1,2023,282067
2,1,2024,282219
2,1,2025,282244
2,1,2026,282197
2,1,2027,282067
2,1,2028,281799
2,1,2029,281366
2,1,2030,280799
2,1,2031,280166
2,1,2032,279510
2,1,2033,278855
2,1,2034,278228
2,1,2035,277655
2,1,2036,277142
2,1,2037,276672
2,1,2038,276227
2,1,2039,275792
2,1,2040,275357
2,1,2041,274909
2,1,2042,274390
2,1,2043,273773
2,1,2044,273119
2,1,2045,272480
2,1,2046,271873
2,1,2047,271309
2,1,2048,270778
2,1,2049,270271
2,1,2050,269791
2,1,2051,269347
2,1,2052,268951
2,1,2053,268597
2,1,2054,268268
2,1,2055,267967
2,1,2056,267725
2,1,2057,267556
2,1,2058,267448
2,1,2059,267410
2,1,2060,267458
2,2,2023,273218
2,2,2024,273364
2,2,2025,273389
2,2,2026,273342
2,2,2027,273213
2,2,2028,272953
2,2,2029,272530
2,2,2030,271981
2,2,2031,271364
2,2,2032,270726
2,2,2033,270089
2,2,2034,269478
2,2,2035,268919
2,2,2036,268419
2,2,2037,267960
2,2,2038,267527
2,2,2039,267101
2,2,2040,266675
2,2,2041,266239
2,2,2042,265734
2,2,2043,265134
2,2,2044,264499
2,2,2045,263877
2,2,2046,263289
2,2,2047,262741
2,2,2048,262225
2,2,2049,261735
2,2,2050,261270
2,2,2051,260839
2,2,2052,260454
2,2,2053,260113
2,2,2054,259794
2,2,2055,259504
2,2,2056,259271
2,2,2057,259108
2,2,2058,259004
2,2,2059,258967
2,2,2060,259015
3,0,2023,54682
3,0,2024,54726
3,0,2025,54764
3,0,2026,54800
3,0,2027,54822
3,0,2028,54825
3,0,2029,54814
3,0,2030,54807
3,0,2031,54818
3,0,2032,54846
3,0,2033,54875
3,0,2034,54908
3,0,2035,54953
3,0,2036,55011
3,0,2037,55072
3,0,2038,55120
3,0,2039,55137
3,0,2040,55103
3,0,2041,55005
3,0,2042,54823
3,0,2043,54557
3,0,2044,54234
3,0,2045,53875
3,0,2046,53484
3,0,2047,53069
3,0,2048,52623
3,0,2049,52142
3,0,2050,51633
3,0,2051,51095
3,0,2052,50538
3,0,2053,49960
3,0,2054,49366
3,0,2055,48770
3,0,2056,48193
3,0,2057,47651
3,0,2058,47144
3,0,2059,46684
3,0,2060,46280
3,1,2023,27894
3,1,2024,27917
3,1,2025,27936
3,1,2026,27955
3,1,2027,27966
3,1,2028,27967
3,1,2029,27961
3,1,2030,27958
3,1,2031,27963
3,1,2032,27977
3,1,2033,27992
3,1,2034,28009
3,1,2035,28032
3,1,2036,28061
3,1,2037,28091
3,1,2038,28116
3,1,2039,28124
3,1,2040,28107
3,1,2041,28057
3,1,2042,27964
3,1,2043,27828
3,1,2044,27663
3,1,2045,27480
3,1,2046,27280
3,1,2047,27069
3,1,2048,26841
3,1,2049,26596
3,1,2050,26336
3,1,2051,26061
3,1,2052,25778
3,1,2053,25482
3,1,2054,25179
3,1,2055,24876
3,1,2056,24582
3,1,2057,24305
3,1,2058,24047
3,1,2059,23812
3,1,2060,23606
3,2,2023,26788
3,2,2024,26809
3,2,2025,26828
3,2,2026,26845
3,2,2027,26856
3,2,2028,26858
3,2,2029,26853
3,2,2030,26849
3,2,2031,26855
3,2,2032,26869
3,2,2033,26883
3,2,2034,26899
3,2,2035,26921
3,2,2036,26950
3,2,2037,26981
3,2,2038,27004
3,2,2039,27013
3,2,2040,26996
3,2,2041,26948
3,2,2042,26859
3,2,2043,26729
3,2,2044,26571
3,2,2045,26395
3,2,2046,26204
3,2,2047,26000
3,2,2048,25782
3,2,2049,25546
3,2,2050,25297
3,2,2051,25034
3,2,2052,24760
3,2,2053,24478
3,2,2054,24187
3,2,2055,23894
3,2,2056,23611
3,2,2057,23346
3,2,2058,23097
3,2,2059,22872
3,2,2060,22674
4,0,2023,217365
4,0,2024,219453
4,0,2025,221482
4,0,2026,223535
4,0,2027,225659
4,0,2028,227863
4,0,2029,230157
4,0,2030,232540
4,0,2031,235009
4,0,2032,237509
4,0,2033,239999
4,0,2034,242486
4,0,2035,244974
4,0,2036,247434
4,0,2037,249798
4,0,2038,252083
4,0,2039,254327
4,0,2040,256526
4,0,2041,258693
4,0,2042,260892
4,0,2043,263158
4,0,2044,265467
4,0,2045,267799
4,0,2046,270133
4,0,2047,272434
4,0,2048,274654
4,0,2049,276746
4,0,2050,278694
4,0,2051,280500
4,0,2052,282198
4,0,2053,283821
4,0,2054,285426
4,0,2055,287053
4,0,2056,288719
4,0,2057,290439
4,0,2058,292230
4,0,2059,294075
4,0,2060,295951
4,1,2023,112077
4,1,2024,113155
4,1,2025,114201
4,1,2026,115260
4,1,2027,116355
4,1,2028,117492
4,1,2029,118675
4,1,2030,119904
4,1,2031,121177
4,1,2032,122466
4,1,2033,123750
4,1,2034,125032
4,1,2035,126314
4,1,2036,127582
4,1,2037,128801
4,1,2038,129979
4,1,2039,131134
4,1,2040,132268
4,1,2041,133384
4,1,2042,134517
4,1,2043,135685
4,1,2044,136875
4,1,2045,138077
4,1,2046,139280
4,1,2047,140466
4,1,2048,141610
4,1,2049,142689
4,1,2050,143694
4,1,2051,144625
4,1,2052,145501
4,1,2053,146339
4,1,2054,147167
4,1,2055,148007
4,1,2056,148867
4,1,2057,149755
4,1,2058,150680
4,1,2059,151632
4,1,2060,152601
4,2,2023,105288
4,2,2024,106298
4,2,2025,107281
4,2,2026,108275
4,2,2027,109304
4,2,2028,110371
4,2,2029,111482
4,2,2030,112636
4,2,2031,113832
4,2,2032,115043
4,2,2033,116249
4,2,2034,117454
4,2,2035,118660
4,2,2036,119852
4,2,2037,120997
4,2,2038,122104
4,2,2039,123193
4,2,2040,124258
4,2,2041,125309
4,2,2042,126375
4,2,2043,127473
4,2,2044,128592
4,2,2045,129722
4,2,2046,130853
4,2,2047,131968
4,2,2048,133044
4,2,2049,134057
4,2,2050,135000
4,2,2051,135875
4,2,2052,136697
4,2,2053,137482
4,2,2054,138259
4,2,2055,139046
4,2,2056,139852
4,2,2057,140684
4,2,2058,141550
4,2,2059,142443
4,2,2060,143350
5,0,2023,11232
5,0,2024,11269
5,0,2025,11294
5,0,2026,11311
5,0,2027,11323
5,0,2028,11334
5,0,2029,11354
5,0,2030,11383
5,0,2031,11427
5,0,2032,11486
5,0,2033,11562
5,0,2034,11654
5,0,2035,11761
5,0,2036,11882
5,0,2037,12011
5,0,2038,12145
