RACE_HISP,SEX,YEAR,BIRTHS
0,0,2023,3607480
0,0,2024,3573755
0,0,2025,3539355
0,0,2026,3505060
0,0,2027,3471165
0,0,2028,3437607
0,0,2029,3404513
0,0,2030,3372152
0,0,2031,3340543
0,0,2032,3309396
0,0,2033,3278305
0,0,2034,3247183
0,0,2035,3216153
0,0,2036,3184962
0,0,2037,3153114
0,0,2038,3120591
0,0,2039,3087454
0,0,2040,3053543
0,0,2041,3019099
0,0,2042,2984544
0,0,2043,2950071
0,0,2044,2915916
0,0,2045,2882373
0,0,2046,2849496
0,0,2047,2817138
0,0,2048,2785123
0,0,2049,2753407
0,0,2050,2722109
0,0,2051,2691382
0,0,2052,2661474
0,0,2053,2632630
0,0,2054,2604880
0,0,2055,2578080
0,0,2056,2552102
0,0,2057,2526913
0,0,2058,2502329
0,0,2059,2478119
0,0,2060,2454182
0,0,2061,2430462
0,0,2062,2406881
0,0,2063,2383341
0,0,2064,2359801
0,0,2065,2336244
0,0,2066,2312654
0,0,2067,2289028
0,0,2068,2265369
0,0,2069,2241679
0,0,2070,2217972
0,0,2071,2194269
0,0,2072,2170605
0,0,2073,2147020
0,0,2074,2123557
0,0,2075,2100269
0,0,2076,2077205
0,0,2077,2054413
0,0,2078,2031933
0,0,2079,2009801
0,0,2080,1988044
0,0,2081,1966682
0,0,2082,1945726
0,0,2083,1925181
0,0,2084,1905049
0,0,2085,1885321
0,0,2086,1865980
0,0,2087,1847006
0,0,2088,1828372
0,0,2089,1810045
0,0,2090,1791989
0,0,2091,1774167
0,0,2092,1756542
0,0,2093,1739080
0,0,2094,1721748
0,0,2095,1704520
0,0,2096,1687375
0,0,2097,1670299
0,0,2098,1653281
0,0,2099,1636319
0,0,2100,1619414
0,1,2023,1845444
0,1,2024,1828169
0,1,2025,1810541
0,1,2026,1792972
0,1,2027,1775608
0,1,2028,1758415
0,1,2029,1741460
0,1,2030,1724884
0,1,2031,1708690
0,1,2032,1692734
0,1,2033,1676817
0,1,2034,1660879
0,1,2035,1644990
0,1,2036,1629018
0,1,2037,1612715
0,1,2038,1596062
0,1,2039,1579096
0,1,2040,1561743
0,1,2041,1544112
0,1,2042,1526431
0,1,2043,1508793
0,1,2044,1491318
0,1,2045,1474159
0,1,2046,1457340
0,1,2047,1440792
0,1,2048,1424411
0,1,2049,1408185
0,1,2050,1392181
0,1,2051,1376454
0,1,2052,1361158
0,1,2053,1346395
0,1,2054,1332200
0,1,2055,1318488
0,1,2056,1305199
0,1,2057,1292306
0,1,2058,1279731
0,1,2059,1267338
0,1,2060,1255088
0,1,2061,1242949
0,1,2062,1230885
0,1,2063,1218831
0,1,2064,1206780
0,1,2065,1194722
0,1,2066,1182648
0,1,2067,1170559
0,1,2068,1158448
0,1,2069,1146322
0,1,2070,1134191
0,1,2071,1122061
0,1,2072,1109955
0,1,2073,1097883
0,1,2074,1085879
0,1,2075,1073963
0,1,2076,1062161
0,1,2077,1050504
0,1,2078,1039007
0,1,2079,1027686
0,1,2080,1016554
0,1,2081,1005620
0,1,2082,994909
0,1,2083,984396
0,1,2084,974100
0,1,2085,964004
0,1,2086,954112
0,1,2087,944406
0,1,2088,934875
0,1,2089,925499
0,1,2090,916258
0,1,2091,907136
0,1,2092,898117
0,1,2093,889190
0,1,2094,880325
0,1,2095,871504
0,1,2096,862734
0,1,2097,853999
0,1,2098,845287
0,1,2099,836610
0,1,2100,827959
0,2,2023,1762036
0,2,2024,1745586
0,2,2025,1728814
0,2,2026,1712088
0,2,2027,1695557
0,2,2028,1679192
0,2,2029,1663053
0,2,2030,1647268
0,2,2031,1631853
0,2,2032,1616662
0,2,2033,1601488
0,2,2034,1586304
0,2,2035,1571163
0,2,2036,1555944
0,2,2037,1540399
0,2,2038,1524529
0,2,2039,1508358
0,2,2040,1491800
0,2,2041,1474987
0,2,2042,1458113
0,2,2043,1441278
0,2,2044,1424598
0,2,2045,1408214
0,2,2046,1392156
0,2,2047,1376346
0,2,2048,1360712
0,2,2049,1345222
0,2,2050,1329928
0,2,2051,1314928
0,2,2052,1300316
0,2,2053,1286235
0,2,2054,1272680
0,2,2055,1259592
0,2,2056,1246903
0,2,2057,1234607
0,2,2058,1222598
0,2,2059,1210781
0,2,2060,1199094
0,2,2061,1187513
0,2,2062,1175996
0,2,2063,1164510
